filename,width,height,class,xmin,ymin,xmax,ymax,image_id
charlotte_1019088214340003257_20150630.jpg,640,640,Nike,339,394,381,439,0
charlotte_1056018576661922536_20150820.jpg,640,640,Nike,497,0,574,30,1
charlotte_1057610050380125945_20150823.jpg,1080,1080,Nike,353,406,473,477,2
charlotte_1061715143228072770_20150828.jpg,1080,1349,Nike,13,51,330,198,3
charlotte_1082081051239374959_20150925.jpg,1080,1080,Nike,245,66,444,217,4
charlotte_1083355360592427543_20150927.jpg,1080,1080,Nike,205,812,288,868,5
charlotte_1083401334535179065_20150927.jpg,612,612,Nike,486,29,579,69,6
charlotte_1095090726797805186_20151013.jpg,640,640,Nike,509,32,606,74,7
charlotte_1095182463148063803_20151013.jpg,1080,1350,Nike,636,961,784,1123,8
charlotte_1098694918883371639_20151018.jpg,1080,1080,Nike,211,526,347,615,9
charlotte_1104553083525159441_20151026.jpg,612,612,Nike,485,30,580,71,10
charlotte_1111938969544043724_20151106.jpg,750,750,Nike,349,442,412,479,11
charlotte_1114072763758803985_20151109.jpg,1080,1080,Nike,71,701,196,757,12
charlotte_1119004427496755048_20151115.jpg,1080,1080,Nike,426,610,500,667,13
charlotte_1119045777354943948_20151115.jpg,480,480,Nike,210,375,259,403,14
charlotte_1124819053831098862_20151123.jpg,1080,862,Nike,156,355,225,398,15
charlotte_1126375295828875587_20151125.jpg,1080,1080,Nike,412,512,506,568,16
charlotte_1126845289076833646_20151126.jpg,1080,1080,Nike,695,764,798,872,17
charlotte_1128642043697021959_20151129.jpg,1080,1080,Nike,402,405,553,465,18
charlotte_1129156039527640864_20151129.jpg,1080,1080,Nike,446,594,569,653,19
charlotte_1133530826240601536_20151205.jpg,1080,1080,Nike,417,890,574,957,20
charlotte_1133666246761402269_20151206.jpg,750,750,Nike,306,666,423,717,21
charlotte_1153840718258277753_20160102.jpg,612,612,Nike,486,28,581,70,22
charlotte_1158322645372514272_20160109.jpg,1080,1180,Nike,445,266,519,330,23
charlotte_1158983202533371053_20160109.jpg,1080,1350,Nike,452,960,663,1054,24
charlotte_1177079781141844695_20160203.jpg,1080,1080,Nike,763,49,909,109,25
charlotte_1179737886580329709_20160207.jpg,640,640,Nike,405,221,454,248,26
charlotte_1189493078655933804_20160221.jpg,1080,607,Nike,516,552,591,602,27
charlotte_1194367098919895098_20160227.jpg,1080,1350,Nike,234,982,379,1086,28
charlotte_1194468527190677973_20160227.jpg,640,640,Nike,507,31,606,74,29
charlotte_1195769653822888032_20160229.jpg,1080,1080,Nike,551,257,707,334,30
charlotte_1199396604904901633_20160305.jpg,612,612,Nike,482,31,585,72,31
